Question asked,Answer,Feedback,,,Bot link : ,https://prudhvi1709.github.io/iitmdocs/
Can we edit the city preference for Quiz 2,"The provided documents do not explicitly mention whether you can edit or change your city preference for Quiz 2.

Typically, quiz location preferences are set during registration or course enrollment. If you need to change your city preference for the Quiz 2 (scheduled for August 3, 2025), it is best to contact the course administration or support team directly as soon as possible to inquire about the possibility of making such an edit.

In summary:

No explicit information on editing city preference for Quiz 2 is given.
Please reach out to the official support or administration for assistance in changing your quiz city preference.
If you need, I can help you find the contact details or guide you on where to ask this question within your course portal.",Incorrect,,,,
what is the syllabus for DBMS course?,Policy given,Correct,,,,
How can I apply for IITM BS Degree Program?,"To apply for the IIT Madras BS in Data Science & Applications degree program, here are the key points you need to know:

Program Overview
The BS in Data Science & Applications program by IIT Madras is delivered online allowing you to study from anywhere.
Quizzes and final exams require in-person attendance at designated centres.
You can progress through levels: Foundation Certificate → Diploma in Programming/ Data Science → BSc Degree → BS Degree.
Pathways and Entry
If you are starting fresh, you typically enter at the Foundation Level and move up by completing courses.
Alternatively, if you have prior qualifications, there are pathways to directly enter at higher levels like Diploma (refer to ""Direct Entry into Diploma Programme"" for eligibility and process).
Steps to Apply
Visit Official IITM Website: For the latest admission notifications and application forms.
Select Entry Level: Choose whether you start at Foundation Level or Diploma Level if you have prior qualifications.
Register and Pay Fee: Complete registration and pay the required fees.
Qualify exams if applying for Diploma directly: You may need to pass a qualifier exam if you seek direct entry to Diploma level (for those with prior studies).
Complete Online Courses: Study the online course materials as per the program curriculum.
Appear for In-Person Exams: Attend monthly quizzes and final exams at designated centers.
Progress through Program Levels: Successfully complete required credits to earn Diploma, BSc, and eventually the BS Degree.
Important Notes
The program is designed for flexible online study, suitable for learners worldwide.
Foundational courses build up your skills to pursue advanced diplomas and degrees.
Students can earn multiple credentials as they progress.
For detailed information, refer to the intro document on BS Data Science & Applications and [Direct Entry into Diploma Programme](#Direct Entry into Diploma programme.md) for eligibility and further application details.

If you have prior credentials or specific conditions, additional pathways such as credit transfer or re-entry policies may apply.",Correct,,,,
what are the subjects in foundation level.,"The subjects (courses) in the Foundation level are as follows:

Maths 1
Statistics 1
English 1
Computational Thinking (CT)
Maths 2 (Pre-requisite: Maths 1)
Statistics 2 (Pre-requisite: Statistics 1; Co-requisite: Maths 2)
English 2 (Pre-requisite: English 1)
Introduction to Python (Pre-requisite: Computational Thinking)
All these 8 Foundation courses should be completed before registering for Diploma level courses.",Correct,,,,
i have discrepancies in my graded assignments scores,"If you have discrepancies in your graded assignment scores, you can take the following steps based on the academic policies and grading procedures mentioned in the documents:

Check Deadlines and Scores:

Verify the assignment deadlines and submission dates to ensure your assignments were submitted on time. Late submissions might not be graded.
Review the scores released for each assignment, quiz, and exam carefully.
Review Academic Policies:

Ensure that your submissions comply with the academic policies, for example, no plagiarism, no sharing before deadlines, and individual effort expected.
Violations like usage of LLMs or copied assignments may lead to penalties which might affect your scores.
Contact the Course Instructor or Support:

If you believe there has been an error in grading, raise the issue with your course instructor or the support team.
Provide details such as assignment numbers, submission timestamps, and the discrepancy you noticed.
Use Official Communication Channels:

Follow the procedures as per the course communication for dispute resolution or grade re-evaluation if available.
Keep Records:

Keep copies of your submitted assignments and correspondence for reference.
If you need specific help or contact details, please check your course portal or announcements for the grievance redressal process.",Correct,,,,
What is the full form of MLT in BS Degree Course?,"The full form of MLT in the BS Degree Course is Machine Learning Techniques.
",Correct,,,,
what are the exam city available ?,"The provided documents do not specify the exact list of available exam cities. However, here is what is mentioned about exam city selection:

During course registration, students must pick 2 cities among the choices provided for their quizzes and exams for that term.
Students are free to choose different cities than those chosen in previous terms.
They can also choose different cities for every quiz or final exam while registering so that bookings can be made accordingly with the exam vendor.
For the exact list of available cities, you may need to check the course registration portal or official communications from the program administration.
",Incorrect,,,,
"If I missed the deadline to submit the assignments, is there any possibility to resubmit them?

",**Policy given**,Correct,,,,
"How can I apply for IITM BS Degree Program?

",**Policy given**,Correct,,,,
"Is there a scholarship option available?

","Yes, there are scholarship options available in the form of fee waivers based on category and family income. The fee waivers are as follows:

Category	Family Income > 5 LPA	Family Income > 1 LPA and <= 5 LPA	Family Income <= 1 LPA
General	Full Fee (No documents required)	50% waiver (EWS + Income proof)	75% waiver (EWS + Income proof)
OBC	Full Fee (No documents required)	50% waiver (OBC-NCL + Income proof)	75% waiver (OBC-NCL + Income proof)
SC / ST	50% waiver (SC/ST proof)	50% waiver (SC/ST proof)	75% waiver (SC/ST + Income proof)
PwD	50% waiver (PwD proof)	50% waiver (PwD proof)	75% waiver (PwD + EWS/OBC-NCL + Income proof)
SC/ST + PwD	75% waiver (proof)	75% waiver (proof)	75% waiver (proof)
Waivers require submission of relevant proofs such as income certificate, caste certificate, disability certificate, etc.
The fee waivers apply to the Qualifier exam fees and subsequent programme fees.
For more details and to apply for the waivers, you may need to present your category and income documents during application or admission.

Additional financial support:

SBI education loan facility is available with an interest rate starting at 8.10% with no collateral required until course completion, which might help students financially.
If you need guidance on how to apply for these waivers or loans, please let me know!
",Correct,,,,
"What are the courses offered in Diploma in Data Science?

","The Diploma in Data Science offered in the program includes the following courses:

Core Courses (6 courses)
Machine Learning Foundations (MLF)
Machine Learning Techniques (MLT)
Machine Learning Practice (MLP)
Business Data Management (BDM)
Business Analytics (BA)
Tools in Data Science (TDS)
Project Courses (2 projects)
Project course in Business Data Management
Project course in Machine Learning Practice
These courses together make up the Diploma in Data Science.
",Correct,,,,
"what is the total fee of this bs degree in data science program
",**Policy given**,Correct,,,,
"Fee structure for Data Science program with fee waiver.

","Fee Structure for the BS in Data Science and Applications Program (with Fee Waivers)
Overview of Fees
The program is structured in levels:

Foundation level (32 credits)
Diploma level (54 credits) – Diploma in Programming and/or Data Science
BSc degree level (28 credits)
BS degree level (28 credits)
Fees by Level (Approximate):
Level	Fee (Rs.)
Foundation	32,000
Diploma (both)	1,25,000
BSc	Rs. 2.21L – 2.47L
BS	Rs. 3.25L – 3.87L
Note: The BSc and BS fees vary according to course and credit selections.

Entry Fee for Qualifier Exam
Rs. 3000 (non-refundable)
Suitable waivers available
Fee Waivers Based on Category and Family Income
| Category | Family Income > 5 LPA | Income > 1 LPA & 5 LPA: 50% waiver → Rs. 16,000

PwD with income <= 1 LPA: 75% waiver → Rs. 8,000
Similar proportional waivers apply for fees at Diploma, BSc, and BS levels.

Summary
Qualifier Exam Fee: Rs. 3000 with possible waivers (see above)
Course Fees: Paid as per levels completed, e.g., Rs. 32k for Foundation plus Rs. 1,25,000 for Diploma, etc.
Fee Waivers: 50% or 75% waiver available for eligible categories and income levels
Education Loan: Available through SBI with 8.10% interest, no collateral
If you are eligible for a waiver, you should submit the necessary income and category proof during application to avail the waiver.

For exact fee calculation post waiver, multiply the applicable fee by the waiver fraction (e.g., 25% fee for 75% waiver).

If you need detailed fee for specific levels or combinations after waiver, please specify your category and income band.
",Correct,,,,
"What are the eligibility criteria for the Data Science course?

",**Policy given**,Correct,,,,
"Grading Policy for PDSA ?

","Grading Policy for PDSA (Programming Data Structures and Algorithms using Python) - Diploma in Programming
Course Assessments and Schedule
Weekly assignments include a mix of autograded and programming assignments.
Quiz 1: July 13, 2025 (in person at centers)
Quiz 2: August 03, 2025 (in person at centers)
End term exam: August 31, 2025 (in person at centers)
One programming exam (Online Proctored Exam - OPPE): August 17, 2025
Eligibility Criteria
To appear for OPPE 1:

Students must complete the OPPE System Compatibility Test (SCT).
Average of programming assignment scores in weeks 2 to 8 (A2 to A8) must be at least 40/100.
Detailed condition: A2 ≥ 40, A3 ≥ 40, A4 ≥ 40, A5 ≥ 40, A6 ≥ 40, A7 ≥ 40, A8 ≥ 40.
To appear for OPPE 2:

Students must complete the OPPE SCT.
Average of the best 5 out of the first 7 weekly assessments (objective and programming) ≥ 40/100.
To appear for end term exam:

Average of the best 5 out of the first 7 weekly assessments (objective and programming) ≥ 40/100.
Attendance in at least one of the two quizzes.
To get the course grade:

Attendance in the end term exam.
Scoring Components
GAA: Average score in the first 10 weekly graded assignments.
Qz1: Score in Quiz 1 (0 if not attempted).
Qz2: Score in Quiz 2 (0 if not attempted).
OP: Score in Online Proctored Exam (OPPE).
F: Score in final exam (end term).
Final Course Score Calculation
[ T = 0.1 \times GAA + 0.4 \times F + 0.2 \times OP + \max \left(0.2 \times \max(Qz1, Qz2), 0.15 \times Qz1 + 0.15 \times Qz2 \right) ]

Grade Policy Based on OPPE and End Term Exam Attendance/Scores
Case	OPPE 1/2 Status	End Term Status	Grade	Next Step
1	Absent	Absent	U	Repeat the entire course
2	Absent (OPPE scores = 0)	Present (score ≥ 35)	I_OP	Complete OPPE alone next term; GA, quiz and ET marks carried over; OR repeat course
3	Score 40	Absent	I	Complete ET alone next term; OPPE will not be scheduled; GA, quiz and OPPE marks carried over; OR repeat course
8	Present, OPPE Score ≥ 40	Present	Pass Grade as per T	
Note:

OPPE SCT exam is mandatory to appear for OPPE.
Passing the course requires attending the end term exam.
Scores and grades depend on overall performance combining weekly assignments, quizzes, programming exams, and end term exam.
If you need more detailed info or explanation on any component, feel free to ask!",Correct,,,,
"Tell me about internship and full time support eligibility?
","Based on the provided documents related to IIT Madras’ BS in Data Science and Applications program, here is the information about internship and full-time support eligibility:

Internship Eligibility and Support
Self-Secured Internships:

Many students secure internships on their own by leveraging the knowledge from the program and displaying it on their resume.
Stipends vary broadly, with monthly stipends ranging mostly between Rs 10,000 to Rs 100,000+.
Internships via IITM BS Placement Cell (IIC):

Students can register for internship support through IIC.
Numbers show that many students become eligible for internship support and a significant number secure internships this way.
Stipends generally range from Rs 10,000 to Rs 60,000 per month (minimum Rs 10,000, median Rs 27,705, highest Rs 60,000).
Application Process:

Students register with IIC for internship support.
Eligibility criteria must be met to apply through IIC.
Number of companies and positions advertised vary by term.
Full-Time Job Eligibility and Support
Job Opportunities via IIC:

Students can also register for placement support through IIT Madras’ BS placement cell.
A number of companies advertise jobs each term, and students apply through it.
Salaries vary with a median around Rs 8,09,230 per annum and a range starting from about Rs 3,60,000.
Job Application Process:

Students register for placement support.
They apply for advertised positions.
Placement cell tracks eligibility and job offers secured.
Apprenticeship Program (Full-Time Support)
Apprenticeship is an optional program available at the BS level and allows students to work with companies or research organizations while earning academic credits (up to 12 credits).
Duration of apprenticeship:
Minimum 4 months with partial credits.
Full credits (12) for 8 months full-time apprenticeship.
Students can take a maximum of 2 courses per term during apprenticeship.
Mode of work remote or onsite depending on company.
Stipend terms mutually agreed upon with the company.
Successful apprenticeship may lead to a pre-placement offer.
Fee for credit transfer is Rs 5000 per credit, payable at registration.
Summary
Aspect	Details
Internship Support	Self-secured or via IITM’s Placement Cell (IIC) with monthly stipends Rs 10,000 to Rs 60,000+
Job Support	Via IITM’s Placement Cell, salaries ranging Rs 3.6 LPA to Rs 15 LPA+, median Rs 8.09 LPA
Apprenticeship (Full-time)	Optional 4-8 months full-time with academic credits (4 credits for >4 months, 12 credits for 8 months). Max 2 courses per term allowed. Stipend negotiable; possibility of pre-placement offer.
Eligibility for Support	Students must register for support via IIC, fulfill eligibility criteria, apply and secure positions.
If you need guidance on how to register for internships or apprenticeship or about eligibility criteria, please let me know!
",Correct,,,,
"Internship Plan and Employment plan fees on the placement portal?
","The documents provided do not mention any specific fees related to ""Internship Plan"" or ""Employment Plan"" on the placement portal.

However, regarding apprenticeship (which is a type of internship) at the BS level:

Apprenticeship is optional.
Academic Credits are given for apprenticeship:
Less than 4 months: 0 credits
Between 4 and 8 months: 4 credits
At 8 months: 12 credits
Fee for credit transfer for Apprenticeship is Rs. 5000 per credit (paid at registration time).
No separate fees for an Employment Plan are detailed in the provided documents.

If you need more details about placement or employment plan fees specifically on the placement portal, it is recommended to check the placement portal directly or contact the program office.",Nearly correct,,,,
"What is the validity period of the placement plan?

","The provided documents do not contain any information regarding the validity period of the placement plan. If you have any other specific questions or need information on a different topic, please let me know!
",Incorrect,,,,
Can you assist me with the eligibility and requirements for placements of BS degree,"The provided documents do not contain specific information about eligibility criteria or requirements for placements directly related to the BS Degree in Data Science and Applications from IIT Madras.

However, based on the general academic structure and criteria to successfully complete the BS degree, here are some key points that might indirectly relate to placement eligibility:

Academic Requirements for BS Degree:
Total Credits Required: 142 credits for the BS degree.
Completion of Levels:
Foundation Level: 32 credits (8 courses)
Diploma Level: 54 credits (12 courses + 4 projects)
BSc Degree Level: 28 credits (7 courses)
BS Degree Level: 28 credits (7 courses including apprenticeship and level 4 courses)
CGPA Requirement: Students usually need to maintain a good CGPA, often ≥ 8.0, especially if opting for advanced opportunities such as upgrading to MS programs.
Apprenticeship: Optional apprenticeship credits (4/12 credits) are part of the BS degree level, giving students industry or research exposure, which may enhance placement prospects.
Credit Transfer: Students can transfer credits from NPTEL courses or IITM campus courses under certain conditions which may affect their graduation timeline.
General Suggestion for Placement Eligibility:
Completion of the BS degree meeting all credit and course requirements.
Maintaining a good academic record (CGPA).
Completing apprenticeships or internships as part of the program to gain practical experience.
Participating in any placement-related processes announced by IIT Madras or the BS degree program coordinators.
Recommendation:
For detailed and updated eligibility and requirements for placements specific to the BS degree, please consult the official IIT Madras BS in Data Science and Applications program website or contact the program administration office directly.

If you need help with any specific academic or credit requirements or course-related queries, please let me know!
",Correct,,,,
What type of companies they hire from the degree can you name some,"The documents provided do not specify the names or types of companies that hire students from the IIT Madras BS in Data Science and Applications degree program.

However, the program does mention that students secure internships and jobs both through self-application and through the IITM BS placement cell (IIC), which advertises various companies and positions each term. The stipend and salary data suggest that students get hired in a range of positions with competitive salaries, including roles that pay between 3.6 LPA to over 20 LPA annually.

For detailed information about specific companies hiring from the program, you might want to contact the IIT Madras BS placement cell (IIC) or refer to any official placement reports or announcements they provide.

If you want, I can help you with typical companies hiring data science graduates generally, or guide you on how to find more specific info.
",Correct,,,,
What would be the average stipend and compensation for the fresher who graduate out from the IIT madras BS degree,"Based on the Career Choices Report (April 2025) for IITM's BS in Data Science and Applications:

Average Stipend for Internships (for freshers)
Median monthly stipend: Rs. 27,705
Minimum monthly stipend: Rs. 10,000
Highest reported stipend: Rs. 60,000
Average Salary for Jobs (for freshers)
Median annual salary: Rs. 8,09,230
Minimum annual salary: Rs. 3,60,000
Highest reported salary: Rs. 15,00,000
Summary:
A fresher graduating from IIT Madras BS degree typically gets internship stipends around Rs. 27,700 per month and job offers with an average annual salary of approximately Rs. 8 lakh. Some students also earn considerably higher packages depending on experience and background.
",Nearly correct,,,,
